ticker,active_weight,factor_beta,contribution,abs_contribution
COP,-0.0011871953667832455,1.1121330482163108,-0.0013203192020889319,0.0013203192020889319
FMC,0.02163652853584597,1.105023919257422,0.023908881561805567,0.023908881561805567
GME,0.0009216558668919333,1.0651982248506353,0.0009817461933364607,0.0009817461933364607
ARCT,0.011694380139623027,1.0536297525241811,0.012321546852434709,0.012321546852434709
VITL,0.010226363036977326,1.0415068577261775,0.010650827232609385,0.010650827232609385
LH,0.00388466424005314,1.031872310875234,0.004008477466358018,0.004008477466358018
SNWV,0.00490706726105878,0.990774027713025,0.004861794794497929,0.004861794794497929
CSGP,0.014152231230104152,0.9766640359341083,0.013821975270666252,0.013821975270666252
URI,-0.00002492402618953216,0.9185921356186756,-0.000022895014445658147,0.000022895014445658147
META,0.009165347326718615,0.918375807730402,0.008417233254304888,0.008417233254304888
JPM,-0.006560578808360125,0.912634155292182,-0.005987408298995532,0.005987408298995532
KMI,0.0009978216522804502,0.887121988507619,0.000885189528346991,0.000885189528346991
NFLX,0.01115403058246044,0.8731643615845779,0.009739301992628928,0.009739301992628928
BLK,0.009178119979870647,0.8700399557626732,0.007985331101271165,0.007985331101271165
COUR,0.004770013675380368,0.8599291675913825,0.004101873889269351,0.004101873889269351
PPC,0.0012212985074864398,0.8593759031844558,0.0010495545079289871,0.0010495545079289871
PCRX,0.004923957794776781,0.8504998655448477,0.004187825442406157,0.004187825442406157
WINA,0.003709674236868256,0.8421225089716725,0.0031240001758190703,0.0031240001758190703
LNN,0.005871187823721712,0.8105852468515087,0.004759098231403036,0.004759098231403036
MS,-0.0024742814391908712,0.806011771812329,-0.0019942999667645935,0.0019942999667645935
AM,0.0005173124393493821,0.747696974940166,0.00038679294600045105,0.00038679294600045105
CPNG,0.0015406138354186,0.7295700316848268,0.0011239856847204306,0.0011239856847204306
RBLX,0.003453337181656328,0.702462673815492,0.0024258404702127596,0.0024258404702127596
SGHC,0.005254795949453015,0.6673499625965399,0.003506787880319919,0.003506787880319919
GEV,-0.001131021969142116,0.6634281819302155,-0.0007503518487110863,0.0007503518487110863
CVLT,0.01129693729449689,0.659917487215009,0.0074550464726099094,0.0074550464726099094
DNTH,0.0007385263671866581,0.6170855340852727,0.00045573393773143514,0.00045573393773143514
KLAC,0.007010417156079753,0.6106703130234896,0.0042810536391284645,0.0042810536391284645
GE,0.0025339564581529656,0.5627520766375436,0.001425989258934696,0.001425989258934696
DORM,0.0011387887898690657,0.5626781241870539,0.000640771540128771,0.000640771540128771
GOOG,0.008301712113668317,0.5093918966095503,0.004228824878687983,0.004228824878687983
CASY,0.0028821820647846733,0.505015711042561,0.0014555472248013485,0.0014555472248013485
AARD,0.0006026887996981929,0.46892403974448954,0.0002826152666632341,0.0002826152666632341
TDY,0.010172512567870124,0.4666389774301071,0.004746890862565828,0.004746890862565828
ETON,0.0009936129533697235,0.43971031065366295,0.0004369018603957046,0.0004369018603957046
ETN,-0.0013741811582361257,0.4333743751639008,-0.0005955349008125865,0.0005955349008125865
RMD,0.004002358656642066,0.33893310331847265,0.0013565318400892488,0.0013565318400892488
DRS,0.013139667673700655,0.3145729213915685,0.00413338364623037,0.00413338364623037
BLBD,0.002552406257820202,0.2094733116160916,0.0005346609914152334,0.0005346609914152334
